HS_NAME,HS_CEEB,HS_NCES
hillsboro school,010018,NA
briarwood christian hs,010332,NA
john carroll catholic hs,010370,00000226
spring valley school,010421,A0509003
valleydale christian academy,010422,NA
lyman ward military academy,010583,NA
catholic high school,011483,A9900007
westminster christian academy,011492,NA
ums wright preparatory school,011835,NA
montgomery academy,011897,NA
saint james school,011904,NA
glenwood school,012137,NA
monroe catholic jr-sr hs,020037,00023629
correspondence study school,020176,NA
grace christian school,020182,NA
paragon science academy,030070,NA
north phoenix preparatory acad,030114,NA
joy christian school,030134,NA
surrey garden christian school,030158,NA
estrella mountain high school,030191,NA
lourdes college preparatory hs,030236,NA
humanities & sciences inst,030342,040010701590
arizona agribusiness & equine,030363,NA
copper canyon academy,030373,NA
canyon del oro alternative sch,030472,NA
green fields country day sch,030487,00032134
pusch ridge christian academy,030492,NA
saint gregory coll prep sch,030506,NA
san pedro valley academy,030599,NA
arizona virtual academy,030607,NA
mesa preparatory academy,030617,040497000404
williams field high school,030619,NA
san tan foothills high school,030623,NA
anthem preparatory academy,030651,NA
insight school of arizona,030656,040043203324
rancho solano prep school,030658,NA
scottsdale prepatory academy,030661,NA
poston butte high school,030690,NA
glendale prep academy,030697,NA
tesseract school,030700,NA
trivium prep academy,030759,NA
arkansas sch math & sciences,041148,NA
arkansas baptist high school,041414,NA
little rock christian academy,041453,NA
maranatha christian school,042019,NA
benton county christian school,042162,NA
saint joseph-notre dame hs,050020,NA
alexandria academy,050021,NA
albany adult school,050030,060186000059
first presbyterian school,050132,NA
rio hondo prep school,050133,NA
bakersfield christian high sch,050208,NA
saint john bosco high school,050260,NA
le lycee francais,050321,00081341
manzanita school,050398,A1700356
santa cruz alternative,050446,NA
victory christian school,050481,NA
redwood christian jr-sr hs,050499,NA
berean christian school,050589,A0500169
venture school,050712,NA
hyde park school,050726,NA
star academy,050854,NA
grauer school,050862,NA
saint bernard high school,050898,00077572
quarry lane school,050903,NA
rosary high school,051007,00075484
junipero serra high school,051025,NA
ribet academy,051058,NA
st matthias high school,051232,NA
tarbut v torah comm day school,051269,NA
crean lutheran high school,051298,NA
lutheran high sch san diego,051339,NA
desert christian high school,051389,NA
pinewood school,051512,NA
palo alto preparatory school,051513,NA
opportunities for learn/sjc,051517,NA
high tech high los angeles,051526,060168410829
livermore valley charter prep,051541,NA
opportunities for learning,051546,NA
bishop mora salesian hs,051554,NA
cathedral high school,051560,NA
concord high school,051567,NA
indian springs high school,051627,NA
lausd/usc math sci tech sch,051652,NA
neilson academy,051674,NA
los angeles lutheran jr-sr hs,051690,NA
lycee international de los ang,051694,NA
german intl sch silicon valley,051711,NA
milken cmty hs stephen wise te,051727,01433805
notre dame academy,051730,00070191
