HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
020003,Anchorage,a j dimond high school,99502-5363,AK
050640,Colton,colton high school,92324,CA
051546,Irwindale,opportunities for learning,90221,CA
052508,Pomona,international poly technic hs,91768,CA
052790,San Bernardino,pacific high school,92404,CA
052929,Julian,julian charter school,92036,CA
053307,Santa Monica,crossroads school,90404,CA
053904,Los Angeles,view park prep accelerated hs,90043,CA
060087,Aurora,options school,80010,CO
060336,Colorado Springs,atlas preparatory school,80910-3710,CO
060406,Denver,escuela tlatelolco,80211,CO
060942,Longmont,longmont christian school,80501,CO
061364,Thornton,pathways future center school,80241,CO
061364,Thornton,pathways,80241,CO
100140,Bonifay,holmes county high school,32425,FL
100553,Gainesville,oak hall school,32607,FL
130292,Idaho Falls,skyline high school,83402,ID
142355,Jacksonville,routt catholic high school,62650-2524,IL
161110,Davenport,davenport central high school,52806,IA
192750,Slidell,slidell high school,70458,LA
192995,West Monroe,west monroe high school,71291,LA
220725,Easthampton,williston northampton school,01027,MA
222457,Woburn,woburn memorial high school,01801,MA
230265,Belleville,belleville high school,48111,MI
231583,Freeland,freeland high school,48623,MI
232050,Hudsonville,hudsonville high school,49426,MI
232390,Manchester,manchester high school,48158,MI
240200,Belle Plaine,belle plaine high school,56011,MN
241950,Park Rapids,park rapids area high school,56470,MN
281316,Lincoln,univ nebraska high school,68588,NE
281316,Lincoln,unl independent study high sch,68588,NE
310223,Cherry Hill,cherry hill high school east,08003,NJ
310730,Lyndhurst,lyndhurst high school,07071,NJ
310836,Morristown,fusion academy - morristown,07960,NJ
320075,Belen,belen senior high school,87002,NM
320350,Jal,jal high school,88252,NM
330984,Brooklyn,urban asy ins math-sci y women,11201-2804,NY
331255,Castleton,maple hill high school,12033,NY
332445,Hoosick Falls,hoosick falls central school,12090,NY
333648,New York,eleanor roosevelt high school,10021,NY
360345,Bay Village,bay high school,44140,OH
364205,Plain City,jonathan alder high school,43064,OH
380550,Junction City,junction city high school,97448,OR
395355,Windber,windber area high school,15963,PA
400075,Newport,rogers high school,02840,RI
411290,Lexington,lexington high school,29072,SC
411851,Spartanburg,spartanburg day school,29307,SC
431390,Memphis,central high school,38104,TN
440325,Austin,william b travis high school,78704,TX
441020,Burleson,burleson high school,76028,TX
460520,Woodstock,woodstock union high school,05091,VT
501046,West Salem,coulee region christian h s,54669,WI
501527,Minocqua,lakeland union high school,54548,WI
041270,Jonesboro,jonesboro high school,72401,AR
050658,Concord,clayton valley high school,94521,CA
050755,Dixon,dixon high school,95620,CA
050966,Fremont,john f kennedy high school,94538,CA
052053,Monterey,york school,93940,CA
052437,Phelan,serrano high school,92329,CA
052986,San Diego,westview high school,92129,CA
054150,Santa Ana,hector godinez fundamental hs,92704,CA
054460,Stockton,aspire langston hughes academy,95205,CA
060072,Aurora,william smith high school,80011,CO
060314,Colorado Springs,sand creek high school,80922,CO
060845,Kiowa,kiowa high school,80117,CO
061201,Pueblo,rocky mountain digital academy,81003-2801,CO
070365,Madison,grove school,06443,CT
080178,Wilmington,john dickinson high school,19808,DE
090185,Washington,saint johns college high sch,20015,DC
100576,Fernandina Beach,ogburn school,32035,FL
141239,Chicago,noble st chart-pritzker prep,60639,IL
143935,South Beloit,south beloit high school,61080-2579,IL
