HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
051546,Irwindale,opportunities for learning,90221,CA
053904,Los Angeles,view park prep accelerated hs,90043,CA
060336,Colorado Springs,atlas preparatory school,80910-3710,CO
060406,Denver,escuela tlatelolco,80211,CO
100553,Gainesville,oak hall school,32607,FL
310836,Morristown,fusion academy - morristown,07960,NJ
054150,Santa Ana,hector godinez fundamental hs,92704,CA
061201,Pueblo,rocky mountain digital academy,81003-2801,CO
100576,Fernandina Beach,ogburn school,32035,FL
380786,Oregon City,clackamas middle college,97045,OR
834250,San Jose     Costa Rica,lincoln school 565-20,,
054451,Los Angeles,humanitas ac art tech-torres,90062,CA
054772,Huntington Park,alliance margaret bloomfield,90255,CA
220330,Boston,newman preparatory school,02116,MA
442258,El Paso,academy science & technology,79915,TX
450323,Provo,heritage school,84603,UT
101213,Neptune Beach,beaches chapel school,32266,FL
102550,Santa Rosa Beach,seacoast collegiate high sch,32459,FL
242202,Saint Louis Park,benilde-st margaret's school,55416,MN
333737,New York,nest plus m-new explorations,10002,NY
372640,Oklahoma City,casady school,73156-0390,OK
392295,Lititz,linden hall school for girls,17543,PA
443556,Irving,highlands school,75062,TX
500505,Delafield,st john's nw military academy,53018,WI
200037,Lewiston,north atlantic regional hs,04240,ME
431391,Eads,briarcrest christian school,38028,TN
544995,San German,escuela sec san german interam,00683,PR
220657,Cummington,academy at swift river,01026,MA
320626,Santa Fe,santa fe preparatory school,87501,NM
441827,Richardson,alexander school,75081,TX
445581,Plano,einstein school,75093-5651,TX
061074,Denver,cornerstone christian academy,80260,CO
110181,Atlanta,horizons school,30307,GA
143698,Rockford,christian life center hs,61114-6448,IL
445869,Grande City,grulla high school,78582,TX
447268,Victoria,victoria west high school,77905,TX
450315,Provo,new haven school,84605,UT
471851,Richmond,governors school,23220,VA
351840,West Fargo,west fargo sheyenne high sch,58078,ND
394140,Reading,central catholic high school,19602,PA
400228,Wakefield,prout school,02879,RI
545123,San Juan,cedin laboratory school,00919-1293,PR
054846,Van Nuys,ilead innovation studios,91411,CA
060395,Denver,denver christian high school,80210,CO
394462,Sellersville,faith christian academy,18960,PA
450189,Layton,dorius academy,84041,UT
480551,Kirkland,puget sound adventist academy,98033,WA
054790,Grass Valley,sierra academy of exped learn,95945-7210,CA
070220,Greenwich,convent of sacred heart,06831,CT
100014,Altamonte Spring,champion preparatory academy,32714,FL
230860,Novi,detroit catholic central hs,48374,MI
334042,New York,school for young performers,10025,NY
390363,Bloomsburg,keystone national high school,17815,PA
394131,Radnor,archbishop carroll high school,19087,PA
441857,Dallas,hampton preparatory school,75232,TX
051389,Lancaster,desert christian high school,93536,CA
100907,Maitland,international community school,32751,FL
101388,Pensacola,a beka acad video homeschooler,32523,FL
443663,Houston,fusion academy - houston galle,77056-6633,TX
444798,San Antonio,kipp univ prep high school,78212-3024,TX
542588,Humacao,palmas academy,00791,PR
734981,Apo,general h h arnold high school,09096,AE
054072,Chula Vista,olympian high school,91915,CA
060111,Boulder,shining mountain waldorf sch,80304,CO
162470,Le Mars,gehlen catholic high school,51031,IA
991531,Thomasville,thomasville high scholars acad,31792,GA
USCHSD,,concurrent high school diploma,,
100160,Bradenton,edison academic center,34209,FL
310165,Burlington,st mary's hall/doane academy,08016,NJ
365769,Worthington,ohio connections academy,43085,OH
372365,Enid,oklahoma bible academy,73703-3433,OK
392609,Springfield,pennsylvania cyber charter sch,19064,PA
053716,Watsonville,saint francis cntrl coast cath,95076,CA
060961,Englewood,hope co-op online learning acd,80122,CO
130307,Sun Valley,community school,83353,ID
333150,Mineola,chaminade high school,11501,NY
410418,Charleston,charleston math-sci charter,29403,SC
450137,Hurricane,sunrise academy,84737,UT
054254,Los Angeles,academic leadership community,90017,CA
054718,Los Angeles,episcopal school los angeles,90038,CA
060589,Fort Collins,front range baptist academy,80525,CO
140658,Chicago,uic college prep,60608,IL
310452,Hackensack,academy for med science tech,07601,NJ
332140,Goshen,john s burke catholic hs,10924,NY
371187,Edmond,oklahoma christian school,73083-0509,OK
030619,Gilbert,williams field high school,85285,AZ
061358,Thornton,mesa-mapleton exped sch arts,80229,CO
431655,Nashville,david lipscomb high school,37204,TN
102458,Bonita Springs,wilostar3d academy,34134,FL
362175,Fostoria,saint wendelin high school,44830,OH
443726,Katy,obra d tompkins high school,77494-2678,TX
480067,Sammamish,eastside catholic high school,98074,WA
I00466,Brasilia   70200-65 Brazil,american school of brasilia,,
050726,Walnut Creek,hyde park school,94596,CA
052123,Thousand Oaks,trinity pacific christian sch,91360,CA
060403,Denver,denver waldorf high school,80206,CO
100981,Miami,university high school,33176,FL
110068,Alpharetta,veritas classical schools,30004,GA
110293,Atlanta,provost academy georgia,30303,GA
221643,North Dartmouth,bishop stang high school,02747,MA
330025,Albany,academy of holy names upper sc,12208,NY
341801,Hendersonville,heritage hall school,28792,NC
450222,Murray,la europa academy,84157,UT
130060,Boise,river stone community school,83716,ID
220901,Great Barrington,great barrington waldorf hs,01230-0905,MA
054788,Huntington Park,renuevo leadership academy,90255,CA
290039,Carson City,free world u,89703,NV
372729,Oklahoma City,able charter school,73118,OK
380080,Beaverton,valley catholic high school,97007,OR
446242,San Antonio,rick hawkins high school,78213,TX
446684,Spring,providence classical school,77379,TX
471948,Roanoke,community school,24009,VA
051058,Los Angeles,ribet academy,90065,CA
052828,San Diego,halstrom high school-san diego,92108,CA
053582,Upland,upland christian school,91786,CA
054297,San Jose,cambrian international academy,95124,CA
222176,Wakefield,nazareth academy,01880,MA
320545,Roswell,new mexico military inst hs,88201,NM
320545,Roswell,new mexico military institute,88201,NM
411849,Spartanburg,oakbrook preparatory school,29301,SC
443192,Heath,fulton academy rockwall county,75032,TX
450291,Park City,winter sports sch in park city,84060,UT
061192,Pueblo,dolores huerta preparatory hs,81003,CO
190595,Covington,saint scholastica academy,70434,LA
221810,Quincy,woodward school for girls,02169,MA
380850,Portland,central catholic high school,97214,OR
310454,Hackensack,academy for bus & comp tech,07601,NJ
574020,Apo,shape american high school dod,09705,AE
574020,Apo,shape american high school,09705,AE
320133,Albuquerque,southwest aeronautics mathemat,87120,NM
336023,Shady,woodstock day school,12409,NY
400180,Providence,moses brown school,02906,RI
443593,Houston,rainard school,77043,TX
470433,Charlottesville,covenant school,22902,VA
480834,Lacey,northwest christian high sch,98516,WA
544800,San Juan,commonwealth parkville school,00918,PR
320687,Thoreau,st bonaventure high school,87323,NM
061308,Steamboat Springs,christian heritage school,80487,CO
070373,Manchester,east catholic high school,06042,CT
090155,Washington,saint anselms abbey school,20017,DC
241494,Stillwater,saint croix christian academy,55082,MN
310915,Livingston,newark academy,07039,NJ
320620,Santa Fe,saint michaels high school,87505,NM
460446,Sutton,the king george school,05867,VT
480345,Edmonds,solomon christian school,98026,WA
042162,Rogers,benton county christian school,72758-6307,AR
070912,Westbrook,oxford academy,06498,CT
150209,Bloomington,harmony school,47402,IN
333490,New York,browning school,10021,NY
635920,Washington,international school of dakar,20521,DC
052504,Pomona,pomona catholic high school,91768,CA
060941,Longmont,pleasant hill academy,80501,CO
320076,Albuquerque,public academy performing arts,87110,NM
441750,Dallas,hockaday school,75229,TX
444357,Lubbock,texas technical univeristy hs,79409,TX
052300,Oxnard,santa clara high school,93033,CA
060361,Delta,delta vision home & comm prgm,81416,CO
090165,Washington,saint albans school for boys,20016,DC
140830,Chicago,francis w parker school,60614-3820,IL
310353,Englewood,law and public safety academy,07631,NJ
320299,Gallup,univ nm gallup middle coll hs,87301,NM
110264,Atlanta,yeshiva atlanta,30340,GA
110264,Atlanta,atlanta jewish academy,30340,GA
143237,Burbank,saint laurence high school,60459-1300,IL
311430,Summit,oak knoll school,07901,NJ
392107,Lancaster,dayspring christian academy,17601,PA
442638,Frisco,lones star high school,75033-3589,TX
450312,Provo,brigham young univ indep hs,84602,UT
192030,New Orleans,holy cross high school,70122,LA
220050,Ashburnham,cushing academy,01430,MA
260734,Columbia,mu high school - univ of mo,65211,MO
260734,Columbia,u of mo-columbia high school,65211,MO
260783,Saint Louis,whitfield school,63131,MO
372786,North Owasso,rejoice high school,74055,OK
445580,Terrell,poetry community christian sch,75160-0642,TX
054279,Oakland,bayhill high school,94610,CA
181570,Louisville,louisville collegiate school,40204-0369,KY
342527,Matthews,carmel christian school,28105,NC
041453,Little Rock,little rock christian academy,72222,AR
052708,Sacramento,capital christian high school,95827,CA
060502,Denver,summit academy,80236,CO
111841,Lilburn,tnt academy,30047,GA
480134,Burien,highline big picture hs,98148,WA
060222,Pueblo,aim global,81003-2801,CO
262147,Maryville,missouri academy sci math comp,64468,MO
334864,Tarrytown,ef international academy,10591,NY
360090,Akron,saints vincent & mary hs,44303,OH
441712,Dallas,dallas international school,75230,TX
444842,Mission,pioneer high school,78753,TX
060440,Aurora,excelsior high school,80014,CO
102015,Ocala,hale academy,34474,FL
111994,Woodstock,noah webster center,30188,GA
130064,Bovill,idaho distance education acad,83806,ID
311278,Princeton,stuart cntry day scl sac hrt,08540,NJ
445129,Austin,harmony schl of political sci,78717-1020,TX
446789,Sugarland,harmony school of sci- houston,77478,TX
060369,Highlands Ranch,jim elliot schools,80163,CO
120023,Honolulu,honolulu waldorf school,96816,HI
335540,Tarrytown,hackley school,10591,NY
053411,Sonoma,soloquest learning center,95476,CA
053886,Livermore,vineyard high school,94550,CA
100941,Largo,indian rocks christian school,33774,FL
101579,Sarasota,out of door academy high sch,34240,FL
393130,Ottsville,tinicum art and science,18942,PA
444050,Laredo,saint augustine high school,78040,TX
450238,Salt Lake City,salt lake gateway academy,84106,UT
502036,St Croix Fls,valley christian school,54024,WI
030661,Scottsdale,scottsdale prepatory academy,85260,AZ
053512,Torrance,bishop montgomery high school,90503,CA
142510,Lake Forest,woodlands academy,60045-3263,IL
431673,Nashville,metro nashville virtual school,37212,TN
441940,Denton,billy c ryan high school,76208,TX
577140,Apo,vicenza american school dod,09630,AE
842310,Miami,international school of sosua,33144,FL
260123,Ava,ava victory academy,65608,MO
380898,Portland,pauling academy,97266,OR
481116,Seattle,john f kennedy cath high sch,98168,WA
561650,Apo,kadena high school dod,96368,AP
I01758,Lima       18       Peru,colegio franklin d roosevelt,,
052843,San Diego,francis w parker school,92111,CA
054753,Manhattan Beach,halstrom academy,90245,CA
054814,Burlingame,design tech high school,94010,CA
070720,Stamford,king (klht),06905,CT
070720,Stamford,king school,06905,CT
100823,Juno Beach,juno beach preparatory school,33408,FL
101105,Village of Palme,westminster christian school,33157,FL
151729,Indianapolis,irvington prep academy,46219-7222,IN
200390,Fryeburg,fryeburg academy,04037,ME
430304,Chattanooga,chattanooga st middle coll hs,37406,TN
231225,Detroit,university detroit jesuit hs,48221,MI
432139,Smyrna,lancaster christian academy,37167,TN
576260,APO,stuttgart american high school,09279,AE
070252,Groton,marine science magnet high sch,06340,CT
233507,Sterling Heights,utica academy international st,48312,MI
241585,Richfield,academy of holy angels,55423,MN
320408,Las Cruces,arrowhead park early coll high,88011-5129,NM
335370,Staten Island,richmondtown preparatory sch,10306,NY
542197,Gurabo,american academy,,PR
010018,Helena,hillsboro school,35080,AL
030690,Queen Creek,poston butte high school,84143,AZ
150219,Bloomington,indiana university high school,47405,IN
210300,Brooklandville,maryvale preparatory school,21022,MD
210580,Owings Mills,garrison forest school,21117,MD
221545,Needham,saint sebastians school,02492,MA
395230,Westtown,westtown school,19395,PA
440533,Beaumont,texas ac leadership humanities,77710,TX
544771,San Juan,saint marys school,00926,PR
052487,Playa Del Rey,saint bernard catholic hs,90293,CA
070219,Greenwich,brunswick school,06830,CT
431417,Memphis,harding academy of memphis,38117,TN
442489,Fort Worth,young womens leadership acad,76102,TX
450346,Layton,nuames early college high sch,84041,UT
